Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:55:22, 53.205624, -4.199069, 65.76,  85068.00, 50, 0, 24.08, 1
2017/11/16, 14:55:24, 53.205894, -4.198504, 64.17,  85716.00, 54, 0, 48.14, 1
2017/11/16, 14:55:25, 53.206005, -4.198190, 62.74,  85500.00, 58, 0, 24.28, 1
2017/11/16, 14:55:26, 53.206116, -4.197882, 62.07,  85500.00, 59, 0, 23.94, 1
2017/11/16, 14:55:27, 53.206223, -4.197583, 61.61,  81972.00, 57, 0, 23.20, 1
2017/11/16, 14:55:28, 53.206333, -4.197312, 61.15,  77616.00, 55, 0, 21.80, 1
2017/11/16, 14:55:30, 53.206543, -4.196857, 61.59,  67788.00, 52, 0, 38.26, 1
2017/11/16, 14:55:31, 53.206661, -4.196652, 62.53,  67140.00, 50, 0, 18.94, 1
2017/11/16, 14:55:32, 53.206760, -4.196465, 62.27,  62712.00, 47, 0, 16.62, 1
2017/11/16, 14:55:33, 53.206879, -4.196284, 63.49,  61884.00, 44, 0, 17.90, 1
2017/11/16, 14:55:34, 53.207035, -4.196194, 65.13,  58680.00, 35, 0, 18.35, 1
2017/11/16, 14:55:35, 53.207180, -4.196126, 65.07,  58428.00, 27, 0, 16.75, 1
2017/11/16, 14:55:36, 53.207344, -4.196134, 65.68,  58788.00, 15, 0, 18.24, 1
2017/11/16, 14:55:37, 53.207500, -4.196171, 67.71,  55872.00, 10, 0, 17.52, 1
2017/11/16, 14:55:39, 53.207809, -4.196086, 69.42,  62388.00, 15, 0, 34.82, 1
2017/11/16, 14:55:40, 53.207954, -4.195991, 71.18,  61812.00, 19, 0, 17.32, 1
2017/11/16, 14:55:41, 53.208099, -4.195845, 71.68,  64836.00, 24, 0, 18.83, 1
2017/11/16, 14:55:42, 53.208225, -4.195633, 71.67,  68580.00, 32, 0, 19.89, 1
2017/11/16, 14:55:43, 53.208344, -4.195283, 71.79,  79272.00, 44, 0, 26.80, 1
2017/11/16, 14:55:45, 53.208618, -4.194769, 72.20,  81612.00, 47, 0, 45.83, 1
2017/11/16, 14:55:46, 53.208759, -4.194532, 73.00,  78912.00, 45, 0, 22.25, 1
